text,label
how photosynthesis works,0
3 tips to improve your study habits,0
why sleep is important for memory,0
how to solve a system of equations step by step,0
what is the water cycle explained simply,0
how to budget your money as a student,0
5 facts about the human brain,0
how to write a strong resume,0
why exercise improves mental health,0
learn basic python in 60 seconds,0
how to cook rice perfectly every time,0
what causes earthquakes explained,0
how to improve your focus while studying,0
tips for better time management,0
how does gravity work,0
learn these english words daily,0
how to stay productive during exams,0
what is artificial intelligence explained,0
how to solve quadratic equations,0
simple tricks to remember formulas,0
YOU NEED TO SEE THIS 😭🔥,1
bro this is actually insane 💀,1
wait till the end 😳,1
nah this is crazy 😂,1
I can't believe this happened,1
this had me crying 😭,1
watch this before it gets deleted,1
yo this is wild 😭,1
I’m actually screaming 😂,1
this is too funny 💀,1
no way this just happened,1
bro did not just do that 💀,1
I can’t stop watching this,1
this is insane 😳,1
I’m dead 😂,1
this made my day 😂,1
nahhh what is this 💀,1
this is so random 😂,1
why is this so funny 😭,1
this got me weak 💀,1
quick hack to save money,0
how to wake up early consistently,0
3 ways to reduce stress,0
what is machine learning in simple terms,0
how to improve your writing skills,0
why drinking water is important,0
how to build good habits,0
tips for better sleep quality,0
how to manage your time better,0
how to improve your memory fast,0
why the sky is blue explained,0
how to solve fractions step by step,0
what is inflation in simple terms,0
how to learn coding for beginners,0
tips to stay focused while studying,0
why reading is important for your brain,0
how to plan your day effectively,0
what is photosynthesis explained simply,0
how to stop procrastinating,0
learn basic algebra quickly,0
how to improve your public speaking skills,0
what is the nervous system,0
how to build confidence step by step,0
tips for effective studying,0
why exercise helps your brain,0
how to manage stress in college,0
what is climate change explained,0
how to write better essays,0
learn these science facts today,0
how to organize your tasks efficiently,0
why sleep affects your mood,0
how to study smarter not harder,0
what is the solar system,0
how to cook healthy meals at home,0
tips to improve concentration,0
how to solve word problems in math,0
why drinking water helps your body,0
how to set goals and achieve them,0
learn basic english grammar fast,0
how to prepare for exams effectively,0
what is gravity explained for beginners,0
how to improve your vocabulary,0
tips for better productivity,0
how to stay motivated during studies,0
what is photosynthesis in plants,0
how to write a resume step by step,0
why learning new skills is important,0
how to save money as a student,0
tips for better time management,0
how to take better notes in class,0
what is the digestive system,0
this is actually insane bro,1
you won't believe what happened next,1
wait for it this is crazy,1
nahhh this is wild,1
this had me dying laughing,1
i cant believe he did that,1
this is too funny bro,1
watch till the end trust me,1
yo what is going on here,1
this is unreal,1
nah this cant be real,1
this is actually crazy,1
i am crying right now,1
bro this is too much,1
this is wild af,1
i cant stop laughing at this,1
this is so funny i cant,1
nahhh bro what is this,1
this is next level crazy,1
im literally crying,1
this is so random bro,1
what did i just watch,1
this is insane no way,1
yo this got me weak,1
nahhh im done,1
this is hilarious,1
bro this is ridiculous,1
this is actually funny,1
i cant deal with this,1
this is too much bro,1
nah this is too funny,1
im crying bro,1
this made me laugh so hard,1
this is unbelievable,1
what is happening here,1
this is crazyyy,1
nahhh this got me dead,1
this is wild bro,1
i cant stop watching this,1
this is so dumb its funny,1
how this simple habit can improve your life,0
this changed how i study forever,0
learn why this works in 2 minutes,0
this trick actually helps you focus better,0
how to stop feeling tired all the time,0
what this means and why it matters,0
this is how you actually save money,0
learn the real reason behind this,0
why this happens explained simply,0
this tip might improve your grades,0
quick way to understand this concept,0
this explains everything you need to know,0
how this method works step by step,0
this is why you keep forgetting things,0
learn this before your next exam,0
this will help you stay consistent,0
simple explanation of a complex idea,0
this is actually useful to know,0
watch this if you want to improve fast,0
this helped me understand math better,0
this looks fake but its real,1
this is kinda educational but also funny,0
i learned this from a random video,0
this is weird but makes sense,0
this feels illegal but works,1
this is actually helpful trust me,0
nah this is too much to handle,1
why is this even a thing,1
this might be useful idk,0
this is so stupid but funny,1
wait this actually taught me something,0
i cant tell if this is real or not,1
this is confusing but interesting,0
bro what even is this,1
this is lowkey helpful,0
nah this made no sense,1
this is kinda smart actually,0
this is dumb but i learned something,0
this is both funny and useful,0
i think this is important maybe,0
this is wild but also informative,0
this makes no sense at all,1
this is random but helpful,0
this is too chaotic,1
i dont know why this works but it does,0
this is pointless but funny,1
this actually explains a lot,0
this is confusing in a good way,0
this is just noise honestly,1
this is helpful if you think about it,0
this is useless but entertaining,1
this might actually help you,0
this is so weird but kinda smart,0
this is just for laughs,1
this is actually a good tip,0
this is nonsense,1
this is surprisingly informative,0
this is chaos,1
this is not what i expected at all,1
this explains something important,0
this is kinda deep if you think about it,0
this is hilarious but also true,0
this is just ridiculous,1
this is oddly satisfying,1
this is actually educational i think,0
this is fake right,1
this is something everyone should know,0
this is pointless content,1
